           Day,    Flow (cfs),Direct Runoff (cfs),Base Flow (cfs),,Base Flow Index (BFI): 0.169
1,3,1.32,1.68,,
2,3.3,1.64,1.66,,
3,2.4,0.77,1.63,,
4,2.8,1.19,1.61,,
5,2.8,1.21,1.59,,
6,2.3,0.74,1.56,,
7,2.8,1.26,1.54,,
8,2.3,0.79,1.51,,
9,2.3,0.81,1.49,,
10,2.7,1.24,1.46,,
11,2.5,1.06,1.44,,
12,2.4,0.98,1.42,,
13,2.1,0.7,1.4,,
14,2,0.63,1.37,,
15,2.5,1.15,1.35,,
16,1,0,1,,
17,2.2,1.21,0.99,,
18,2.3,1.32,0.98,,
19,2.5,1.53,0.97,,
20,1.9,0.95,0.95,,
21,1.8,0.86,0.94,,
22,1.4,0.47,0.93,,
23,1.5,0.59,0.91,,
24,1.4,0.5,0.9,,
25,1.3,0.42,0.88,,
26,1.7,0.83,0.87,,
27,1.7,0.84,0.86,,
28,1.6,0.75,0.85,,
29,1.4,0.57,0.83,,
30,1.3,0.48,0.82,,
31,1.3,0.49,0.81,,
1,1.4,0.61,0.79,,
2,1.4,0.62,0.78,,
3,1.6,0.83,0.77,,
4,1.6,0.84,0.76,,
5,1.5,0.75,0.75,,
6,1.6,0.86,0.74,,
7,1.5,0.77,0.73,,
8,1.6,0.88,0.72,,
9,1.6,0.88,0.72,,
10,1.5,0.79,0.71,,
11,1.3,0.6,0.7,,
12,1.2,0.51,0.69,,
13,1.2,0.52,0.68,,
14,1.2,0.53,0.67,,
15,1.2,0.54,0.66,,
16,1.5,0.85,0.65,,
17,1.5,0.86,0.64,,
18,1.3,0.67,0.63,,
19,1.5,0.87,0.63,,
20,1.4,0.78,0.62,,
21,1.5,0.89,0.61,,
22,1.3,0.7,0.6,,
23,1.3,0.7,0.6,,
24,1.2,0.61,0.59,,
25,1.2,0.62,0.58,,
26,1.2,0.63,0.57,,
27,1.2,0.63,0.57,,
28,1.2,0.64,0.56,,
29,1.2,0.65,0.55,,
1,1.1,0.55,0.55,,
2,1.1,0.56,0.54,,
3,1.1,0.57,0.53,,
4,1,0.48,0.52,,
5,1.1,0.58,0.52,,
6,1.1,0.59,0.51,,
7,1.1,0.6,0.5,,
8,1.1,0.6,0.5,,
9,1,0.51,0.49,,
10,1.1,0.61,0.49,,
11,1,0.52,0.48,,
